NATIONAL UNIVERSITY OF ENGINEERING
FACULTY OF CIVIL ENGINEERING
JAPAN-PERU CENTER FOR EARTHQUAKE ENGINEERING RESEARCH AND DISASTER MITIGATION (CISMID)
TUPAC AMARU AVENUE 1150 - LIMA 25 - PERU Postal Code 31-250 Lima 31
Telephone Numbers (51-1) 482-0777, 482-0790 FAX 481-0170
e-mail: f_lazares@uni.edu.pe	http://www.cismid-uni.org

1. INFORMATION ABOUT THE SEISMIC STATION
STATION NAME               :  Parque de la Reserva                                                                                
STATION CODE               :  PRQ       
STATION LOCATION           :  Parque de la Reserva, Cercado de Lima, Lima                                                         
LATITUDE                   :  -12.07 
LONGITUDE                  :  -77.04 
ALTITUDE (m)               :  130                 
ACCELEROMETER MODEL        :  Acelerógrafo Analógico                                                                              
SAMPLING FREQUENCY (Hz)    :   50

2. INFORMATION ABOUT THE EARTHQUAKE
DATE                       :  October 17, 1966                                                                                    
ORIGIN TIME (Local)        :  16:41:00                                                                                            
LATITUDE                   :  -10.70                                                                                              
LONGITUDE                  :  -78.70                                                                                              
DEPTH (km)                 :  24.00                                                                                               
MAGNITUDE                  :  8.1 Mw                                                                                              
INFORMATION SOURCE         :  IGP                                                                                                 

3. INFORMATION ABOUT THE RECORD
RECORD TIME (Local)        :  16:41:00
NUMBER OF SAMPLES          :      3283
MAXIMUM ACCELERATION       :   -180.56   -268.24     94.29
DATA UNITS                 :  cm/s2   

4. COMMENTS
BASELINE CORRECTED

5. ACCELERATION DATA
T	EW	NS	UD
6.28	-6.5411	7.8217	2.9061
6.30	2.1509	-4.1513	-4.1029
6.32	8.3439	1.9627	-3.9929
6.34	3.8439	7.2797	2.4421
6.36	1.0709	1.2957	12.4801
6.38	-5.0271	-7.0223	3.0921
6.40	-9.6011	-9.1623	-17.3319
6.42	-7.6851	-4.6353	-20.2879
6.44	-1.8081	-1.0563	-1.3329
6.46	3.7309	3.8897	13.2751
6.48	0.1629	4.3977	5.2321
6.50	-9.8121	1.6237	-3.0889
6.52	-12.7381	7.1987	0.5181
6.54	3.1139	12.4237	10.0231
6.56	8.7759	10.6647	7.9741
6.58	-10.0151	7.1587	-13.0559
6.60	-12.7551	4.8637	-16.8289
6.62	-6.3791	5.2787	6.9711
6.64	-11.3371	2.3697	24.0451
6.66	-13.1241	6.0647	18.6381
6.68	-0.6961	11.1407	-3.2449
6.70	-3.3591	5.3757	-20.8559
6.72	-0.2371	-3.5683	-5.2519
6.74	7.1099	-0.0323	3.7741
6.76	-7.4961	2.3187	-12.6609
6.78	-5.5991	-13.2793	-5.8359
6.80	-1.0651	-15.1543	9.7301
6.82	-8.0501	-0.3103	11.6741
6.84	2.7219	5.3027	8.4451
6.86	4.2569	1.9977	4.6251
6.88	-16.3461	1.5757	-4.6809
6.90	-14.5761	4.4497	-13.3039
6.92	-9.4681	-3.9313	-9.0209
6.94	1.0589	1.4407	-4.9199
6.96	10.8379	12.5717	0.9341
6.98	14.6179	14.5357	-7.8419
7.00	13.2059	1.9027	-10.8569
7.02	12.5179	-15.5613	-7.2449
7.04	16.8599	-6.0073	-7.1889
7.06	8.8969	-1.5763	-3.3849
7.08	3.5479	-0.3863	6.1321
7.10	8.5529	-4.2763	25.8461
7.12	11.0429	-6.7223	15.4281
7.14	0.6219	0.6427	-8.6789
7.16	-0.7951	4.4407	-22.7979
7.18	-4.6201	13.7447	-19.8219
7.20	-6.0281	12.4287	-4.6789
7.22	8.0509	5.3387	-17.0859
7.24	-1.2711	5.2377	-18.5169
7.26	-12.9591	3.6537	2.8821
7.28	-0.7311	8.2887	19.1221
7.30	13.2509	7.8117	24.7941
7.32	9.4039	1.7777	11.9271
7.34	-8.9021	8.4337	-1.3779
7.36	-10.3611	8.2007	5.3641
7.38	6.4499	-4.3583	2.6871
7.40	14.7389	-0.9083	8.9631
7.42	14.4199	16.4227	5.1481
7.44	9.2139	6.9597	-12.1969
7.46	-2.1971	-9.9213	-7.2039
7.48	6.0399	-0.4363	0.5911
7.50	5.9969	10.3327	7.2871
7.52	-17.5241	-1.7013	1.4181
7.54	-26.1441	-12.8743	6.1051
7.56	-7.9371	-5.3403	14.1961
7.58	5.9849	-0.8223	-0.2179
7.60	-3.0511	-6.5363	-5.8599
7.62	-10.6011	6.5327	9.8861
7.64	-5.1511	16.5017	3.7521
7.66	4.2989	7.9497	-16.7659
7.68	6.0029	4.4667	-6.1769
7.70	13.5169	1.6787	7.4821
7.72	-2.7571	9.1247	-3.2319
7.74	-16.8791	5.1787	-18.0759
7.76	-11.5591	-8.8933	-21.8819
7.78	-19.5241	-6.1183	-25.5799
7.80	-8.4441	3.1717	-3.6719
7.82	20.6979	12.6747	36.8741
7.84	13.5709	12.7467	36.3101
7.86	-12.5451	-4.6393	-0.5379
7.88	-2.4501	-12.0743	-18.8259
7.90	11.4629	5.4097	-15.8459
7.92	13.4299	3.6257	-19.8329
7.94	4.5649	-7.3773	-2.8199
7.96	1.3709	-10.8123	19.2771
7.98	-11.2401	-3.1533	17.9601
8.00	-13.4831	2.8107	25.0201
8.02	10.1339	-0.3223	29.9911
8.04	5.1399	11.8877	5.8651
8.06	2.1959	9.0577	-13.7179
8.08	17.1039	-4.9693	-5.6739
8.10	2.7349	5.4497	-7.5349
8.12	-7.7421	4.8447	-13.6439
8.14	6.3449	-5.0533	-7.1789
8.16	-1.8881	6.2847	5.0931
8.18	-12.8541	20.1147	15.9521
8.20	-0.6491	14.0137	13.1611
8.22	3.1199	15.0057	15.6271
8.24	-1.8041	23.7527	8.8221
8.26	2.3599	18.8047	-28.3659
8.28	10.9109	0.0397	-32.5079
8.30	19.3659	-15.0463	0.6051
8.32	8.6629	-16.2773	16.2671
8.34	-11.8351	-19.0853	17.9461
8.36	0.1079	-9.9593	6.1501
8.38	6.8919	14.3137	-5.8189
8.40	-4.1331	27.6797	-15.3659
8.42	10.8109	19.1567	0.7581
8.44	3.9069	16.3697	12.7731
8.46	-26.4041	7.1567	-3.1449
8.48	-12.8311	-21.5243	-0.4279
8.50	14.9399	-30.1963	-15.5319
8.52	9.3719	-1.6363	-13.6689
8.54	5.5839	-0.4203	-3.0329
8.56	1.6959	-3.4083	-10.6429
8.58	-18.3301	-0.6363	2.5871
8.60	-10.5581	-1.8333	12.3731
8.62	-7.3871	5.7137	15.8711
8.64	-9.3121	-2.1553	6.8321
8.66	-6.4281	-17.6733	4.0781
8.68	-9.4471	-24.8513	6.7571
8.70	5.1329	0.9727	-17.0109
8.72	13.6019	17.5757	-5.3029
8.74	5.8199	-1.5663	25.2181
8.76	-3.4741	-3.5523	14.8351
8.78	-13.5441	12.8577	-1.9609
8.80	-4.8621	15.1397	-3.3499
8.82	2.7169	16.0387	6.6531
8.84	-16.8521	14.9537	3.3701
8.86	-8.1561	2.1647	-2.2169
8.88	-3.7941	4.7047	-2.9999
8.90	-10.7251	13.9677	-1.7819
8.92	4.5689	8.4637	8.9841
8.94	15.2319	13.4547	11.5381
8.96	4.9299	16.7787	-2.2519
8.98	-11.5591	9.9287	-13.6739
9.00	-8.2111	-1.6183	-6.3889
9.02	8.4039	-11.9793	-6.3979
9.04	5.9739	-6.9963	-18.0959
9.06	-6.8981	-11.2683	2.7011
9.08	4.6709	-13.7293	33.7421
9.10	-0.4301	6.3157	29.2821
9.12	-31.2571	0.2567	13.2301
9.14	-3.9411	-17.7663	0.1061
9.16	32.1299	-12.2133	-12.7189
9.18	15.9939	-3.1773	-8.9739
9.20	0.4209	2.3707	-13.7809
9.22	-18.1171	15.5277	-14.3569
9.24	-21.8421	16.5837	-9.7239
9.26	-11.3391	6.2487	-6.2419
9.28	-10.9061	10.0787	14.1971
9.30	-3.9181	2.6627	22.0481
9.32	-8.3881	-3.5473	-5.6559
9.34	-0.6541	7.6307	-9.9549
9.36	23.7199	7.0557	9.5071
9.38	4.0989	10.8677	3.6111
9.40	-6.0741	-7.8473	-23.1459
9.42	2.0719	-18.0353	-20.2779
9.44	-3.6971	7.3737	9.3631
9.46	10.5259	3.6727	1.1291
9.48	11.1569	-9.6053	-10.7559
9.50	-16.1681	-3.5593	-13.9039
9.52	-11.8641	2.2177	-21.9509
9.54	9.8419	-4.9843	-8.2449
9.56	9.8829	-13.4553	11.0711
9.58	1.7409	-2.0553	0.0591
9.60	1.1879	6.4357	6.1171
9.62	8.7599	-0.0643	31.6771
9.64	6.1469	9.9167	34.6121
9.66	-9.7021	14.5747	13.1121
9.68	2.2129	7.0577	-15.1339
9.70	6.9819	14.2227	5.5011
9.72	1.6189	12.6327	19.7211
9.74	5.1749	-7.2053	-16.7859
9.76	-16.9031	-2.0753	-27.9039
9.78	-14.4941	3.4557	-7.4799
9.80	0.8689	-5.3193	-10.6359
9.82	9.7379	-8.6393	1.6111
9.84	12.6039	-4.8583	29.2721
9.86	-12.8651	18.0107	31.8841
9.88	-11.7571	19.0307	15.0591
9.90	16.6399	14.9597	-6.5299
9.92	7.0889	15.7497	-7.6369
9.94	-4.3821	-12.7233	-22.2799
9.96	7.0509	-23.5843	-29.5159
9.98	14.5919	-6.2393	-12.0789
10.00	-9.2521	7.9137	-1.2649
10.02	-24.1891	8.3037	12.2391
10.04	0.1929	-1.4863	26.0631
10.06	18.3629	6.9377	12.5021
10.08	1.9089	29.7147	7.9371
10.10	-3.2171	25.3327	22.3951
10.12	7.3759	1.5587	12.9401
10.14	-3.9741	-5.1583	-11.0449
10.16	3.2849	5.0357	-21.0889
10.18	14.1049	3.3957	-26.4799
10.20	-6.7561	-13.4273	-6.9229
10.22	-15.3541	-13.2983	26.4221
10.24	-8.8131	0.9697	10.6461
10.26	-19.5221	2.9577	-15.2849
10.28	3.2459	-10.8583	-4.1349
10.30	24.7099	-12.2993	16.9891
10.32	15.5199	-2.2073	27.6571
10.34	-2.7131	-1.0273	25.0191
10.36	-18.6381	6.5157	10.8601
10.38	1.3699	5.1847	-6.2819
10.40	11.2719	-4.1753	9.6561
10.42	-6.8781	12.4227	-19.3799
10.44	-10.8261	-1.0433	-36.2849
10.46	4.9479	-5.2953	7.7591
10.48	-4.8421	10.3347	17.3291
10.50	-6.7151	9.1187	1.2021
10.52	-9.6681	11.6667	16.7011
10.54	-11.8921	11.1367	27.2921
10.56	16.3569	16.3717	0.6191
10.58	20.8839	16.2477	-17.9429
10.60	4.1189	8.8157	-3.3669
10.62	-6.0371	4.0807	-1.9109
10.64	-8.6951	6.1277	-6.1709
10.66	-5.0501	-2.0193	12.2131
10.68	0.3769	-7.7253	10.0731
10.70	-7.2071	-14.2913	-10.5669
10.72	-7.2581	-8.3573	-15.9869
10.74	-1.3981	16.7267	-0.3479
10.76	-0.2871	-1.2823	3.7631
10.78	5.9409	-21.4413	15.1551
10.80	6.1179	-1.4613	14.4701
10.82	-1.1041	24.5257	-14.4639
10.84	-8.2241	7.7967	-23.8569
10.86	1.5369	-7.5323	-2.5569
10.88	-0.3561	12.4497	0.1921
10.90	-12.5291	6.5907	-17.1269
10.92	5.3509	-20.7123	-10.0009
10.94	4.7059	-8.8463	2.1481
10.96	-3.5661	8.5387	-0.7659
10.98	15.1639	0.4327	4.8781
11.00	9.2089	3.1857	7.2931
11.02	1.0469	2.3707	-0.5419
11.04	22.6669	-10.8683	4.6131
11.06	23.2259	-11.3163	18.4481
11.08	-1.8501	-1.1963	26.7971
11.10	-12.6751	6.4647	17.2601
11.12	-4.9471	17.1517	12.5341
11.14	-3.3171	18.1477	-4.6159
11.16	-6.5631	5.9137	-23.5789
11.18	7.3139	-12.3853	-23.9909
11.20	19.5189	-10.0583	-14.2079
11.22	12.6239	0.1287	7.9331
11.24	11.1389	-4.0313	13.4631
11.26	9.7919	-9.0933	-3.0229
11.28	-0.4201	-12.7963	-5.3709
11.30	-0.5641	-9.7113	-10.8319
11.32	4.7649	-2.9413	-6.8859
11.34	-0.6971	3.2027	5.8551
11.36	-12.9071	-0.7593	-4.1169
11.38	-15.1971	-8.2413	-16.6769
11.40	2.8849	-6.2893	-11.1509
11.42	12.2999	0.8977	-2.5899
11.44	1.5879	5.6417	16.8051
11.46	-11.2861	-9.1363	17.9871
11.48	-12.9081	4.0227	-14.3179
11.50	-0.9671	15.7567	-4.6629
11.52	1.1869	4.3357	19.0831
11.54	7.9099	10.0167	0.5131
11.56	9.9029	15.0327	-0.6409
11.58	2.4129	8.4617	22.1981
11.60	-14.9221	-4.8043	10.8741
11.62	-13.4401	-14.2473	-9.6199
11.64	11.7039	-8.5853	-13.0629
11.66	13.1329	3.7897	-16.5389
11.68	-1.1901	2.2917	-28.6479
11.70	9.9829	-4.5053	-25.5129
11.72	14.7859	-12.4603	-9.6809
11.74	-4.7851	-13.9893	2.5891
11.76	-8.2241	0.5457	1.1181
11.78	6.4019	15.7777	-7.4529
11.80	14.9409	16.7477	4.0771
11.82	4.3939	17.9737	13.3191
11.84	-9.8981	5.9237	6.1941
11.86	-3.3831	-6.7883	-0.8299
11.88	7.2039	-2.6163	-0.7679
11.90	2.4439	1.9877	1.0531
11.92	7.4599	5.0057	4.6911
11.94	23.0019	1.8357	8.8401
11.96	9.0459	-7.3043	9.9561
11.98	-15.9021	-5.3663	1.2831
12.00	-8.1611	9.1897	-1.4339
12.02	-0.7221	7.1327	19.5571
12.04	-7.3041	8.2137	12.5231
12.06	-1.7351	16.1977	-11.0279
12.08	15.8979	5.3137	-5.3089
12.10	19.9329	-14.6003	7.1421
12.12	8.4939	-22.0273	19.7861
12.14	3.3999	6.0847	2.7681
